Dealer ID,DealerName,Clean Name,Report,Address,City,Key,TotalUnitsPurchased,RequiredUnits,PrimaryUnits,Primary%,SecondaryUnits,Secondary%,QualifyingUnits,Qualifying%,Non-QualifyingUnits,Non-Qualifying%
1800448,John Menard Tire Co.,johnmenardtire,Course,PO Box 426,Rayne,johnmenapobox426rayne,0,0,0,,0,,0,,0,
1803880,Magnum Automotive,magnumautomotive,Course,302 S 2nd Ave E,Newton,magnumau302s2ndanewton,157,0,157,100,0,0,145,92.36,12,7.64
1981628,Leon's Original One Stop,leonsoriginalonestop,Course,1304 Caffey Drive,Oxford,leonsori1304caffoxford,191,0,191,100,0,0,95,49.74,96,50.26
1806257,Henry J Finck Inc,henryjfinck,Course,23022 US HWY 6 and 19,Cambridge Springs,henryjfi23022ushcambridg,1598,402,1598,100,0,0,1490,93.24,108,6.76
1810525,Norms Tire,normstire,Course,113 south 5th st,missouri valley,normstir113southmissouri,238,0,238,100,0,0,225,94.54,13,5.46
1811920,Rafferty Tire & Auto,raffertytireauto,Course,400 South White Street,Brookville,rafferty400southbrookvil,1058,0,1058,100,0,0,994,93.95,64,6.05
1803895,RUTLAND TIRE & WHEEL,rutlandtirewheel,Course,5711 White Bluf Rd,Savannah,rutlandt5711whitsavannah,872,0,868,99.54,4,0.46,837,95.99,35,4.01
1797564,Madisonville Tire,madisonvilletire,Course,48 Federal Street,Madisonville,madisonv48federamadisonv,711,0,711,100,0,0,405,56.96,306,43.04
1805962,Al's Tire,alstire,Course,3912 St Stans Avenue,Northern Cambria,alstire3912ststnorthern,946,54,885,93.55,61,6.45,807,85.31,139,14.69
1808360,columbus tire,columbustire,Course,710 n high school ave.,columbus,columbus710nhighcolumbus,209,0,209,100,0,0,186,89,23,11
1983787,The Tire Shop,thetireshop,Course,500 W. 6TH AVE,Lancaster,thetires500w6thalancaste,92,0,92,100,0,0,32,34.78,60,65.22
1935790,B & Z Performance,bzperformance,Course,1111 Conrad Hilton Blvd,cisco,bzperfor1111conrcisco,0,75,0,,0,,0,,0,
2021435,Pioneer Tire,pioneertire,Course,2024 W Pioneer pkwy,arlington,pioneert2024wpioarlingto,101,0,101,100,0,0,30,29.7,71,70.3
1921627,Totten Tire Center,tottentirecenter,Course,9400 E. Birch Run,Birch Run,tottenti9400ebirbirchrun,1243,0,1243,100,0,0,1109,89.22,134,10.78
1802309,E&G AUTO PLUS INC,egautoplus,Course,489 RT 6 WEST,COUDERSPORT,egautopl489rt6wecoudersp,303,0,303,100,0,0,289,95.38,14,4.62
