,Dealer Number,Dealer Name,Store Address Line 1,Store City,Clean Name,Key
93,1796168,AGRI CO-OP SUPPLY,PO BOX 678,MORRILTON,agricoopsupply,agricooppobox678morrilto
94,1799171,AIKEN DISCOUNT TIRE & AUTO SERVICE,1104 RICHLAND AVE E,AIKEN,aikendiscounttireautoservice,aikendis1104richaiken
95,1796864,AIRWAYS TIRE & ALIGNMENT CO.,2050 AIRWAYS BLVD.,MEMPHIS,airwaystirealignment,airwayst2050airwmemphis
96,1794433,AJ'S STATION,221 E WARREN ST,ST JOSEPH,ajsstation,ajsstati221ewarrstjoseph
97,1796563,AK TIRES,31235 OUTER HIGHWAY 10 SOUTH,REDLANDS,aktires,aktires31235outredlands
98,1796537,AL CHAFFEE TIRE,987 MILL RD,HELENA,alchaffeetire,alchaffe987millrhelena
99,1797495,AL'S MOTORWORKS,3556 BETHOVEN STREET,PITTSBURGH,alsmotorworks,alsmotor3556bethpittsbur
100,1795191,ALAMO TIRE INC,99 N CAVALIER DR,ALAMO,alamotire,alamotir99ncavalalamo
101,1982941,Alan Jones & Sons,150 Ayers Street,Barre,alanjonessons,alanjone150ayersbarre
102,1799537,ALAN'S CUSTOM MUFFLER,1901 SOUTH BROADWAY,POPLAR BLUFF,alanscustommuffler,alanscus1901soutpoplarbl
103,1933413,Albert Automotive,621 Flat Rock Dr,Paulding,albertautomotive,albertau621flatrpaulding
104,1800598,ALBERTS TIRE,101 EAST CARSON ST,PITTSBURGH,albertstire,albertst101eastcpittsbur
105,1798202,ALBERTVILLE DISCOUNT TIRE,221 N BROAD ST,ALBERTVILLE,albertvillediscounttire,albertvi221nbroaalbertvi
106,1794420,ALBORN TIRE SALES,327 LAWRENCE AVE,ELLWOOD CITY,alborntiresales,albornti327lawreellwoodc
107,1799999,ALFORDS TIRE SERVICE,574 N MAIN ST,DYER,alfordstireservice,alfordst574nmaindyer
108,1798118,ALFRED AUTO CENTER,6989 RT 21,ALMOND,alfredautocenter,alfredau6989rt21almond
109,1795178,ALIGNMENT TIRE & BRAKE OF MERIDIAN LLC,413 12th AVE,MERIDIAN,alignmenttirebrakeofmeridian,alignmen41312thameridian
110,1801007,ALL AMERICAN TIRE,1329 COLLEGE ST,CLARKSVILLE,allamericantire,allameri1329collclarksvi
111,1797092,ALL IN ONE TIRE & AUTO CENTER,1540 HARMONY DR.,TIPP CITY,allinonetireautocenter,allinone1540harmtippcity
112,1797725,ALL PRO AUTO SERVICE INC.,2620 WEST MAPLE AVE,LANGHORNE,allproautoservice,allproau2620westlanghorn
113,1797231,All Season Tire,7443 State Rt 415 North,Bath,allseasontire,allseaso7443statbath
114,1797787,ALL SEASON TIRE CO. INC.,9400 LYNDALE AVE. S,BLOOMINGTON,allseasontireco,allseaso9400lyndblooming
115,1797509,ALL WEATHER TIRE SALES & SERVICE,100 DEPOT ROAD,HUNTINGTON STATION,allweathertiresalesservice,allweath100depothuntingt
116,1798461,ALL WHEELS DRIVEN,12461 ROUTE 6,WELLSBORO,allwheelsdriven,allwheel12461rouwellsbor
117,1971884,All-Timate Auto Care,340 Industrial Blvd,New Kensington,alltimateautocare,alltimat340indusnewkensi
118,1796567,ALLEN TIRE & WRECKER SERVICES,942 W Washington St,PITTSFIELD,allentirewreckerservices,allentir942wwashpittsfie
119,1800140,ALLEN TIRE SERVICE,3283 HARDING HIGHWAY,LIMA,allentireservice,allentir3283hardlima
120,1796047,ALLEN'S TIRE,113 E. 7TH ST.,RUSK,allenstire,allensti113e7thsrusk
121,1796568,ALLEN'S TIRE SERVICE INC.,2327 E. 5TH ST.,TYLER,allenstireservice,allensti2327e5thtyler
