,Name,Clean Name,Report,Address,City,Key,Count of Courses
5310,exxpress tire delivery,exxpresstiredelivery,Course,4490 steelway blvd so.,liverpool,exxpress4490steeliverpoo,49
5311,exxpress tire delivery,exxpresstiredelivery,Course,4490 steelway blvd so.,liverpool,exxpress4490steeliverpoo,49
5312,briggs tire service,briggstireservice,Course,21 main st,livonia,briggsti21mainstlivonia,0
5313,exxpress tire delivery,exxpresstiredelivery,Course,4490 steelway blvd so.,liverpool,exxpress4490steeliverpoo,49
5314,exxpress tire delivery,exxpresstiredelivery,Course,4490 steelway blvd so.,liverpool,exxpress4490steeliverpoo,49
5315,exxpress tire delivery,exxpresstiredelivery,Course,4490 steelway blvd so.,liverpool,exxpress4490steeliverpoo,49
5316,exxpress tire delivery,exxpresstiredelivery,Course,4490 steelway blvd so.,liverpool,exxpress4490steeliverpoo,49
5317,Exxpress Tire Delivery,exxpresstiredelivery,Course,1275 Lehigh Station Rd,Rochester,exxpress1275lehirocheste,47
5318,Boyd's Tire LLC,boydstire,Course,32 Tabernacle Road,Columbus,boydstir32taberncolumbus,49
5319,Express Tire,expresstire,Course,1148 Industrial Ave,Escondido,expresst1148induescondid,26
5320,Elite New and Used Tires,elitenewandusedtires,Course,8807 Southeastern Ave.,Indianapolis,elitenew8807soutindianap,1
5321,American Tire Distributor,americantiredistributor,Course,4689 Industry Drive,Medford,american4689indumedford,0
5322,White Tire Center  HWY 70,whitetirecenterhwy70,Course,761 US HWY 70 SW,HICKORY,whitetir761ushwyhickory,32
5323,Dobbs,dobbs,Course,7447 Manchester,maplewood,dobbs7447mancmaplewoo,4
5324,perfection tire,perfectiontire,Course,311 w. walnut,newport,perfecti311wwalnnewport,7
5325,Williams Tire,williamstire,Course,5143 Appalachian hwy,BLUE RIDGE,williams5143appablueridg,73
5326,TETRAULT TIRE PROS,tetraulttirepros,Course,4075 Broadway,Eureka,tetrault4075broaeureka,0
5327,County Tire & Auto Service,countytireautoservice,Course,9730 Manchester Rd,Rock Hill,countyti9730mancrockhill,0
5328,Dunn Tire LLC,dunntire,Course,475 Cayuga Rd Suite 500,Buffalo,dunntire475cayugbuffalo,2
5329,Dunn Tire LLC,dunntire,Course,475 Cayuga Rd Suite 500,Buffalo,dunntire475cayugbuffalo,2
5330,Tire Discounter Group Inc.,tirediscountergroup,Course,95 John St.,Orangeville,tiredisc95johnstorangevi,74
5331,UPFRONT AUTO CLINIC,upfrontautoclinic,Course,1405 UPPER FRONT ST,BINGHAMTON,upfronta1405uppebinghamt,0
5332,UpFront Auto Clinic,upfrontautoclinic,Course,1405 front st,binghamton,upfronta1405fronbinghamt,1
5333,NTD,ntd,Course,4041 North Service Rd Unit #3,Burlington,ntd4041nortburlingt,0
5334,A&A Tires LLC,aatires,Course,4099 NORTH VALLEY PIKE,ROCKINGHAM,aatires4099nortrockingh,0
5335,NTD,ntd,Course,4041 North service Rd,Burlington,ntd4041nortburlingt,0
5336,Concord Tire Center,concordtirecenter,Course,4020 Coleman Circle,Richmond,concordt4020colerichmond,1
5337,Exxpress Tire Delivery,exxpresstiredelivery,Course,1275 Lehigh Station Rd,Rochester,exxpress1275lehirocheste,45
5338,Meineke,meineke,Course,1775 Rodney Rd,York,meineke1775rodnyork,7
5339,Dobbs Tire and Auto,dobbstireandauto,Course,14268 Manchester Rd,Manchester,dobbstir14268manmanchest,8
5340,OLDHAMS AUTO,oldhamsauto,Course,322 state road 16,st. Augustine,oldhamsa322statestaugust,2
5341,Farmers Union Oil,farmersunionoil,Course,605 W Montana,Baker,farmersu605wmontbaker,4
5342,Mount'n View Tirecraft,mountnviewtirecraft,Course,27901 Hwy 16,South Hazelton,mountnvi27901hwysouthhaz,6
5343,Exxpress Tire Delivery,exxpresstiredelivery,Course,1275 Lehigh Station Rd,Rochester,exxpress1275lehirocheste,44
5344,Crossroads Automotive,crossroadsautomotive,Course,3210 Hwy 34 East,Newnan,crossroa3210hwy3newnan,1
5345,ELLIJAY TIRE COMPANY,ellijaytire,Course,583 Maddox Drive,Ellijay,ellijayt583maddoellijay,74
5346,Dailey Tire,daileytire,Course,1740 Eastern Ave,Gallipolis,daileyti1740eastgallipol,2
5347,National Tire Distributors,nationaltiredistributors,Course,4041 northservice rd,Burlington,national4041nortburlingt,11
5348,hercules tire sales inc,herculestiresales,Course,805 w kenosha,broken arrow,hercules805wkenobrokenar,2
5349,W.N. Tetrault.com,wntetraultcom,Course,4075 Boradway,Eureka,wntetrau4075boraeureka,20
5350,LKQ TRIPLETT TIRE DEPOT,lkqtripletttiredepot,Course,1533 TRIPLETT BLVD,AKRON,lkqtripl1533tripakron,1
5351,Integrity Tire,integritytire,Course,11974 Willow Grove Road,Camden,integrit11974wilcamden,2
5352,C&D TIRES,cdtires,Course,3647 US 411,Maryville,cdtires3647us41maryvill,1
5353,Williston Tire Center,willistontirecenter,Course,1909 2nd Ave W,Williston,willisto19092ndawillisto,36
5354,National Tire DSistributor,nationaltiredsistributor,Course,4041 north service rd unit 3,Burlingotn,national4041nortburlingo,6
