,DealerName,Clean Name,Report,Address,City,Key
113,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,805 Cheyenne Meadows Rd,Colorado Springs,tireworl805cheyecolorado
114,RDS AUTO SUPPLIES,rdsautosupplies,Course,1411 STATE ROUTE 147,DALMATIA,rdsautos1411statdalmatia
115,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,750 Copper Center Prkwy,Colorado Springs,tireworl750coppecolorado
116,Fender Tire & Wheel,fendertirewheel,Course,2 GILL ROAD,WEAVERVILLE,fenderti2gillroaweavervi
117,Richfield Service Inc,richfieldservice,Course,1810 Wolf Rd,Richfield,richfiel1810wolfrichfiel
118,Agee's Service Inc.,ageesservice,Course,121 SO 8TH,Sabetha,ageesser121so8thsabetha
119,Dakota Wholesale Tire,dakotawholesaletire,Course,2700 MAIN AVE,Fargo,dakotawh2700mainfargo
120,Davis Automotive,davisautomotive,Course,1003 Vine St,Hays,davisaut1003vinehays
121,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,805 Cheyenne Meadows Rd,Colorado Springs,tireworl805cheyecolorado
122,Maverick Truckstop,mavericktruckstop,Course,250 South Hwy 11,Burwell,maverick250southburwell
123,RDS AUTO SUPPLIES,rdsautosupplies,Course,1411 STATE ROUTE 147,DALMATIA,rdsautos1411statdalmatia
124,PALM BEACH TIRE PROS,palmbeachtirepros,Course,1360 HYPOLUXO RD.,LANTANA,palmbeac1360hypolantana
125,U.S. AutoForce,usautoforce,Course,425 Better Way,Appleton,usautofo425betteappleton
126,Reedy Creek Tire & Auto,reedycreektireauto,Course,4866 N NC HWY 150,Lexington,reedycre4866nnchlexingto
127,R & J's Tires,rjstires,Course,5079 E Middletown Rd,New Middletown,rjstires5079emidnewmiddl
128,Blue Seal Petroleum,bluesealpetroleum,Course,1715 South Whitehead Dr.,DeWitt,blueseal1715soutdewitt
129,Pot of Gold Quick Lube,potofgoldquicklube,Course,61 Franklin Tpke,Mahwah,potofgol61franklmahwah
130,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,509 So. Nevada Ave.,Colorado Springs,tireworl509sonevcolorado
131,U.S. AutoForce,usautoforce,Course,815 West 10th,Pella,usautofo815west1pella
132,HP Tire and Muffler LLC,hptireandmuffler,Course,100 w Main,cole camp,hptirean100wmaincolecamp
133,Carroll Tire,carrolltire,Course,440 Park 20 West Dr,Grovetown,carrollt440park2grovetow
134,Cooper Bros Tire & Auto,cooperbrostireauto,Course,936 N Washington Ave,Green Brook,cooperbr936nwashgreenbro
135,Tires Only,tiresonly,Course,,,
136,Genes Auto & Truck Service,genesautotruckservice,Course,,,
137,dennis quick auto,dennisquickauto,Course,811 25th st,snyder,dennisqu81125thssnyder
138,ATD,atd,Course,2830 E Jean St,Springfield,atd2830ejeaspringfi
139,Farm Bureau Garage,farmbureaugarage,Course,50 Washington Ave,Souderton,farmbure50washinsouderto
140,RICHMONDTOWN SERVICE,richmondtownservice,Course,3310 RICHMOND ROAD,STATEN ISLAND,richmond3310richstatenis
141,American Tire Distributors,americantiredistributors,Course,,,
142,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay
143,Balado National Tires,baladonationaltires,Course,,,
144,Tire Country Inc.,tirecountry,Course,714 Union Rd,Gastonia,tirecoun714uniongastonia
145,U.S. AutoForce,usautoforce,Course,35943 State Hwy 86,Cassville,usautofo35943stacassvill
146,U.S. AutoForce,usautoforce,Course,704 Oak,Benton,usautofo704oakbenton
147,Tire Discounter Group,tirediscountergroup,Course,95 John St.,Orangeville,tiredisc95johnstorangevi
148,Tire Discounter Group,tirediscountergroup,Course,95 John St.,Orangeville,tiredisc95johnstorangevi
149,TIRE COUNTRY OF MEBANE,tirecountryofmebane,Course,,,
150,Ultimate Automotive,ultimateautomotive,Course,4707 E Arrowhead Parkway,SIOUX FALLS,ultimate4707earrsiouxfal
151,Weber Tires Inc,webertires,Course,1879 County Road V,Sun Prairie,webertir1879counsunprair
152,Rockland Tire & Auto Service,rocklandtireautoservice,Course,109 ROUTE 59,Monsey,rockland109routemonsey
153,South Boston True Value,southbostontruevalue,Course,307 Broad St.,SOUTH BOSTON,southbos307broadsouthbos
154,Kauffman Tire,kauffmantire,Course,695 Commerce Blvd,Midway,kauffman695commemidway
155,Roland's Tire Service,rolandstireservice,Course,11 Howland Rd,Fairhaven,rolandst11howlanfairhave
156,South Boston True Value,southbostontruevalue,Course,307 Broad St.,South Boston,southbos307broadsouthbos
157,Hostetler Tire & Auto Sales Inc.,hostetlertireautosales,Course,45W US 20,LaGrange,hostetle45wus20lagrange
158,McCullough Tire,mcculloughtire,Course,1900 Universal Road,Pittsburgh,mccullou1900univpittsbur
159,mcculloughtire,mcculloughtire,Course,1900 Universal Road,Pittsburgh,mccullou1900univpittsbur
160,ATD,atd,Course,1415 West Commerce Way,Lincoln,atd1415westlincoln
161,ATD,atd,Course,1415 West Commerce Way,Lincoln,atd1415westlincoln
162,Pro Tire & Alignment,protirealignment,Course,1018 N st Street,Grand Junction,protirea1018nstsgrandjun
163,Kauffman Tire,kauffmantire,Course,2832 Anvil Block Rd,Ellenwood,kauffman2832anviellenwoo
164,Douglas County AutoCare,douglascountyautocare,Course,2205 Fairburn Road,Douglasville,douglasc2205fairdouglasv
165,K & W Tire Co,kwtire,Course,,,
166,Tire Dealers Warehouse,tiredealerswarehouse,Course,12045 6300 Rd.,Montrose,tiredeal12045630montrose
167,TAYLORS FAMILY CAR CARE,taylorsfamilycarcare,Course,1434 Imlay City Road,LAPEER,taylorsf1434imlalapeer
168,Tire Dealers Warehouse,tiredealerswarehouse,Course,12045 6300 Rd.,Montrose,tiredeal12045630montrose
169,Tire Dealers Warehouse,tiredealerswarehouse,Course,12045 6300 Rd.,Montrose,tiredeal12045630montrose
170,Connecticut Tire,connecticuttire,Course,7 Veterans Drive,NEW BRITAIN,connecti7veterannewbrita
171,Lube Depot and Repair,lubedepotandrepair,Course,205 West Glenwood ave,smyrna,lubedepo205westgsmyrna
172,Lube Depot and Repair,lubedepotandrepair,Course,205 West Glenwood ave,smyrna,lubedepo205westgsmyrna
173,Lube Depot and Repair,lubedepotandrepair,Course,205 West Glenwood ave,smyrna,lubedepo205westgsmyrna
174,Tire Dealers Warehouse,tiredealerswarehouse,Course,12045 6300 Rd.,Montrose,tiredeal12045630montrose
175,Freedman Auto Service,freedmanautoservice,Course,1690 State Route 27,Edison,freedman1690statedison
176,Crossroads Automotive,crossroadsautomotive,Course,6224 Kentuck Road,Ringgold,crossroa6224kentringgold
177,National Tire Warehouse,nationaltirewarehouse,Course,9180 W Buckeye Rd,Tolleson,national9180wbuctolleson
178,National Tire Warehouse,nationaltirewarehouse,Course,9180 W Buckeye Rd,Tolleson,national9180wbuctolleson
179,Free Service Tire Co,freeservicetire,Course,570 Eastside Dr.,Black Mountain,freeserv570eastsblackmou
180,National Tire Warehouse,nationaltirewarehouse,Course,9180 W Buckeye Rd,tolleson,national9180wbuctolleson
181,Tims Tire Service,timstireservice,Course,,,
182,National Tire Warehouse,nationaltirewarehouse,Course,9180 W Buckeye Rd,Tolleson,national9180wbuctolleson
183,Breighner Tire LLC,breighnertire,Course,1705 Hanover Pike,,
184,JOHN DEERY MOTORS,johndeerymotors,Course,6823 UNIVERSITY AVENUE,CEDAR FALLS,johndeer6823univcedarfal
185,SimpleTire,simpletire,Course,31 Oak Ave,,
186,Kerr Tire and Automotive,kerrtireandautomotive,Course,18537 Forest Rd,Lynchburg,kerrtire18537forlynchbur
187,Downtown Safeway Tire,downtownsafewaytire,Course,4623 Superior,Cleveland,downtown4623supeclevelan
188,Enns Battery & Tire,ennsbatterytire,Course,2207 Four Mile Creek Road,Niagara-on-the-Lake,ennsbatt2207fourniagarao
189,Tetrault Tire Pros,tetraulttirepros,Course,4075 Broadway,Eureka,tetrault4075broaeureka
190,Florida Georgia Wholesale Tire,floridageorgiawholesaletire,Course,514 NW Hawks Ave,greenville,floridag514nwhawgreenvil
191,ATD,atd,Course,8751 Skinner Ct,orlando,atd8751skinorlando
192,Kerr Tire and Automotive,kerrtireandautomotive,Course,18537 Forest Rd,Lynchburg,kerrtire18537forlynchbur
193,Kerr Tire and Automotive,kerrtireandautomotive,Course,18537 Forest Rd,Lynchburg,kerrtire18537forlynchbur
194,Kerr Tire and Automotive,kerrtireandautomotive,Course,18537 Forest Rd,Lynchburg,kerrtire18537forlynchbur
195,Kerr Tire and Automotive,kerrtireandautomotive,Course,18537 Forest Rd,Lynchburg,kerrtire18537forlynchbur
196,Kerr Tire and Automotive,kerrtireandautomotive,Course,18537 Forest Rd,Lynchburg,kerrtire18537forlynchbur
197,American Tire Distributors,americantiredistributors,Course,,,
198,Pot of Gold Quick Lube,potofgoldquicklube,Course,61 Franklin Tpke,Mahwah,potofgol61franklmahwah
199,JET TIRE SERVICE,jettireservice,Course,,,
200,Farm King Supply,farmkingsupply,Course,,,
201,DIXON'S AUTO SERVICE,dixonsautoservice,Course,PO BOX 250,MATHENY,dixonsaupobox250matheny
202,Raben Tire Company,rabentire,Course,2015 E Malone,,
203,Raben Tire Company,rabentire,Course,1400 S Division,Blytheville,rabentir1400sdivblythevi
204,Raben Tire Company,rabentire,Course,2015 E Malone,,
205,AUTO TECH,autotech,Course,2304 FAIR RD.,SIDNEY,autotech2304fairsidney
206,Car-X Tire & Auto,carxtireauto,Course,11843 Kemper Springs Drive,Cincinnati,carxtire11843kemcincinna
207,Kimberly Tire,kimberlytire,Course,650 N. Rochester,Clawson,kimberly650nrochclawson
208,Cooperative Energy Company,cooperativeenergy,Course,1708 Pierce Ave,Sibley,cooperat1708piersibley
209,SPANIAL'S SERVICE CENTER,spanialsservicecenter,Course,45 W ORVILLA RD,HATFIELD,spanials45worvilhatfield
210,Carroll Tire,carrolltire,Course,440 Park 20 West Dr,Grovetown,carrollt440park2grovetow
211,Best One Tire & Service of Sidney,bestonetireserviceofsidney,Course,120 S Stolle Ave,Sidney,bestonet120sstolsidney
