,Id,Name,Address1,City,Clean Name,Report,Key
97,2006368,par enterprises,16589 hwy 52,wiggins,bobstirewheels,Performance,parenter16589hwywiggins
98,2006369,bob's tire & wheels,136 goffle rd,hawthorne,pennerstireauto,Performance,bobstire136gofflhawthorn
99,2006370,"penners tire & auto, inc",903 lincoln ave,york,parmatireandautomotive,Performance,pennerst903lincoyork
100,2006371,parma tire and automotive,5791 new haven drive,medina,dixonsautoservice,Performance,parmatir5791newhmedina
101,2006372,"dixon's auto service, llc",po box 205,matheny,mineralwellstire,Performance,dixonsaupobox205matheny
102,2006373,mineral wells tire,771 southern highway,mineral wells,watsonautoservice,Performance,mineralw771southmineralw
103,2006374,watson auto service,511 dell street,bellefonte,bctireautocenter,Performance,watsonau511dellsbellefon
104,2006375,"b & c tire & auto center, inc.",3705 kermit hwy,odessa,budgettirecompanyoftaylor,Performance,bctireau3705kermodessa
105,2006376,budget tire company of taylor,3905 dix rd,lincoln park,tresamigostiresandautoservice,Performance,budgetti3905dixrlincolnp
106,2006377,tres amigos tires and auto service,560 e. gish road,san jose,ramtireandautoservice,Performance,tresamig560egishsanjose
107,2006378,ram tire and auto service,54 owasco rd,athens,aetire,Performance,ramtirea54owascoathens
108,2006379,a & e tire inc,3855 e 52nd ave,denver,specialtyautomotive,Performance,aetirein3855e52ndenver
109,2006380,specialty automotive,1874 rt 88 e,brick,frankmanmotor,Performance,specialt1874rt88brick
110,2006381,frankman motor company,26874 sd hwy 11,sioux falls,stewardsservice,Performance,frankman26874sdhsiouxfal
111,2006382,stewards service llc,1803 old hwy 50 ne,waverly,strykersvilletire,Performance,stewards1803oldhwaverly
112,2006383,strykersville tire inc,po box 31,strykersville,odetire,Performance,strykerspobox31strykers
113,2006384,ode tire,23830 groesbeck,warren,capitaltireautoofshakopee,Performance,odetire23830growarren
114,2006385,capital tire & auto of shakopee,1248 vierling dr,shakopee,5startireauto,Performance,capitalt1248viershakopee
115,2006386,5 star tire & auto,1403 north expressway ste. a,griffin,jrautoservice,Performance,5startir1403nortgriffin
116,2006387,j & r auto service inc,629 n main st.,oshkosh,burnstireexchange,Performance,jrautose629nmainoshkosh
117,2006388,"burns tire exchange, inc.",1135 main st,stratford,performancetireservicecenter,Performance,burnstir1135mainstratfor
118,2006389,performance tire & service center,4705 university drive nw,huntsville,westernauto,Performance,performa4705univhuntsvil
119,2006390,western auto,238 main st.,whitesburg,affordableautomotiveservicecenter,Performance,westerna238mainswhitesbu
120,2006391,affordable automotive service center,479 brick blvd,brick,delkers,Performance,affordab479brickbrick
121,2006392,delker's,12198 lewis ave,temperance,gunbarrelstation,Performance,delkers12198lewtemperan
122,2006393,gunbarrel station,46987 hwy 112,center,mlrincdbacarxautoservice,Performance,gunbarre46987hwycenter
123,2006394,mlr inc dba car-x auto service,6628 w 130th ave,cedar lake,sulivantiremart,Performance,mlrincdb6628w130cedarlak
124,2006395,sulivan tire mart,210 w. silver st,sullivan,seminoletirecenter,Performance,sulivant210wsilvsullivan
125,2006396,seminole tire center,211 e wilson,seminole,tiresandmore,Performance,seminole211ewilsseminole
126,2006397,tires and more,1556 s. water st.,kent,allstarztireautomotive,Performance,tiresand1556swatkent
127,2006398,all-starz tire & automotive,238 blanding blvd,orange park,automotiveprocare,Performance,allstarz238blandorangepa
128,2006399,automotive pro care,457 16th ave nw,rochester,huntsvillediscounttire,Performance,automoti45716tharocheste
129,2006400,huntsville discount tire,309 hwy 75n,huntsville,danielstireservice,Performance,huntsvil309hwy75huntsvil
130,2006401,daniels tire service,634 n. nc hwy 150,lexington,randymoontireauto,Performance,danielst634nnchwlexingto
131,2006402,randy moon tire & auto,3699 washington rd.,martinez,311tireandautomotive,Performance,randymoo3699washmartinez
132,2006403,311 tire and automotive,7610 walnut cove rd.,walnut cove,countryclubservicecenter,Performance,311tirea7610walnwalnutco
133,2006404,country club service center,2811 old kings hwy,keysville,watsontireautoservice,Performance,countryc2811oldkkeysvill
134,2006405,watson tire & auto service,220 s perry st,attica,collinstirecenter,Performance,watsonti220sperrattica
135,2006406,collins tire center,30 north central,umatilla,revlandalignment,Performance,collinst30northcumatilla
136,2006407,revland alignment inc,po box 87,wanamingo,greenstireandservice,Performance,revlandapobox87wanaming
137,2006408,greens tire and service,19465 north 3rd st,citronelle,atlantictirewholesale,Performance,greensti19465norcitronel
138,2006409,atlantic tire wholesale inc.,7307 pulaski highway,baltimore,rosstireservice,Performance,atlantic7307pulabaltimor
139,2006410,ross tire & service,17036 evergreen hills ave,greenwell hills,speedyautoservice,Performance,rosstire17036evegreenwel
140,2006411,speedy auto service,3040 lohr circle,ann arbor,communitytire,Performance,speedyau3040lohrannarbor
141,2006412,community tire,123 e. durango st,phoenix,mocktireautomotive,Performance,communit123eduraphoenix
142,2006413,mock tire & automotive inc,4752 country club road,winston salem,waldwickautoservice,Performance,mocktire4752counwinstons
143,2006414,waldwick auto service,25 w prospect st,waldwick,patstireroadservice,Performance,waldwick25wprospwaldwick
144,2006415,pats tire & road service,13440 palm beach blvd,fort myers,thetireomni,Performance,patstire13440palfortmyer
145,2006416,the tire omni,314 buford drive,lawrenceville,westheimerautocenter,Performance,thetireo314buforlawrence
146,2006417,westheimer auto center,6233 westheimer rd.,houston,simmonstirecenter,Performance,westheim6233westhouston
147,2006418,simmons tire center,378 warrenton rd,fredericksburg,hubbardstireandlube,Performance,simmonst378warrefrederic
148,2006419,hubbards tire and lube,10579 hwy 431,new hope,ralphautocenter,Performance,hubbards10579hwynewhope
149,2006420,ralph auto center,737 leasburg rd.,roxboro,jeremysautomotive,Performance,ralphaut737leasbroxboro
150,2006421,jeremy's automotive,10788 gratiot ave,casco,coloradotireservice,Performance,jeremysa10788gracasco
151,2006422,colorado tire & service,1541 chambers rd,aurora,peninsulatireservice,Performance,colorado1541chamaurora
152,2006423,peninsula tire service inc,1299 del monte blvd,monterey,naylorsautorepair,Performance,peninsul1299delmmonterey
153,2006424,naylors auto repair,10803 n nyman ave,hayward,waynemillersmobiletire,Performance,naylorsa10803nnyhayward
154,2006425,wayne millers mobile tire inc,11350 woodside ave north,santee,summitford,Performance,waynemil11350woosantee
155,2006426,summit ford,p0 b0x 2307,silverthorne,garberautomotive,Performance,summitfop0b0x230silverth
156,2006427,garber automotive inc.,2216 w. 6th st.,lawrence,cornerservicetire,Performance,garberau2216w6thlawrence
157,2006428,corner service & tire llc,po box 136,elgin,crtire,Performance,cornersepobox136elgin
158,2006429,c&r tire co.,111 randolph rd,worcester,centraltireincdbacoopertireautoservice,Performance,crtireco111randoworceste
159,2006430,central tire inc dba cooper tire & auto service,1111 s. tillotson ave,muncie,tylersautomotive,Performance,centralt1111stilmuncie
160,2006431,tyler's automotive,111 w mill st,plainville,aarontiretireautocenter,Performance,tylersau111wmillplainvil
161,2006432,"aaron tire & tire auto center, inc",395 south main street,hiawassee,rossontroilo,Performance,aarontir395southhiawasse
162,2006433,rosson & troilo,p.o. box 157,remington,iveystireservice,Performance,rossontrpobox157remingto
163,2006434,ivey's tire service inc,900 n jefferson ne st,milledgeville,perrinmotors,Performance,iveystir900njeffmilledge
164,2006435,perrin motors,5085 alpine ave,comstock park,cfitireservice,Performance,perrinmo5085alpicomstock
165,2006436,cfi tire service inc,1520 east south omaha bridge rd.,council bluffs,stoltzfusautorepair,Performance,cfitires1520eastcouncilb
166,2006437,stoltzfus auto repair,1001 gap newport pike,cochranville,donsautoservice,Performance,stoltzfu1001gapncochranv
167,2006438,don's auto service,521 main st,derby,midwaytire,Performance,donsauto521mainsderby
168,2006439,midway tire,p o box 933,clyde,mosleytire,Performance,midwaytipobox933clyde
169,2006440,mosley tire co,14669 us hwy 301 s.,starke,oaklandservicecenter,Performance,mosleyti14669ushstarke
170,2006441,oakland service center llc,15 pierce st,oakland,pattersonsservicestation,Performance,oaklands15pierceoakland
171,2006442,patterson's service station,221 n aurora st.,ithaca,hillsideservicecenter,Performance,patterso221nauroithaca
172,2006443,hillside service center,113 columbus ave,valhalla,rootsrepair,Performance,hillside113columvalhalla
173,2006444,root's repair,1551 s morey road,lake city,bosleytireserviceco,Performance,rootsrep1551smorlakecity
174,2006445,bosley tire service co. inc.,3948 s. broadway,wichita,vicstire2,Performance,bosleyti3948sbrowichita
175,2006446,vic's tire 2 inc.,7834 rogers ave.,fort smith,tcareofjacksonllcdbatcareofjackson,Performance,vicstire7834rogefortsmit
176,2006447,t-care of jackson llc dba t-care of jackson,311 s hwy,jackson,columbiamarathon,Performance,tcareofj311shwyjackson
177,2006448,columbia marathon,24497 sprague road,columbia station,ageesservice,Performance,columbia24497sprcolumbia
178,2006449,"agee's service, inc.",121 south 8th street,sabetha,zellertire,Performance,ageesser121southsabetha
179,2006450,zeller tire,950-952 homestead ave,maybrook,dbabobstireandbrake,Performance,zellerti950952homaybrook
180,2006451,dba bobs tire and brake,6847 west hwy. 40,ocala,martyswreckerservice,Performance,dbabobst6847westocala
181,2006452,martys wrecker service,602 4th st,pawnee,obrientireservicecenter,Performance,martyswr6024thstpawnee
182,2006453,o'brien tire & service center inc,3924 nameoki rd,granite city,doddsavetire,Performance,obrienti3924namegranitec
183,2006454,dodds ave tire,4931 rossville blvd,chattanooga,scottstire,Performance,doddsave4931rosschattano
184,2006455,scotts tire,1889 sw biltmore street,port st lucie,wilsonvilletoyotascion,Performance,scottsti1889swbiportstlu
185,2006456,wilsonville toyota - scion,9155 sw boeckman rd,wilsonville,strongsvillemarathon,Performance,wilsonvi9155swbowilsonvi
186,2006457,strongsville marathon,16717 royalton rd,strongsville,billsautoplace,Performance,strongsv16717roystrongsv
187,2006458,bills auto place inc,p0 b0x 2092,granby,inkstensserviceincdbadonscars,Performance,billsautp0b0x209granby
188,2006459,"inkstens service, inc dba dons c.a.r.s.",po box 176,chesterland,egautoplus,Performance,inkstenspobox176chesterl
189,2006460,e&g auto plus inc.,489 rt 6 west,coudersport,churchstirepros,Performance,egautopl489rt6wecoudersp
190,2006461,church's tire pros,511 south cedar avenue,south pittsburg,bartelsautoclinic,Performance,churchst511southsouthpit
191,2006462,bartel's auto clinic,190 s. gary ave,carol stream,tonysgarage,Performance,bartelsa190sgarycarolstr
192,2006463,"tony's garage, ltd",1856 storrs road,storrs,youngsservicestation,Performance,tonysgar1856storstorrs
193,2006464,youngs service station inc,13 main st,pine bush,coshoctontireretreading,Performance,youngsse13mainstpinebush
194,2006465,coshocton tire & retreading inc.,110 west pine street,coshocton,laketire,Performance,coshocto110westpcoshocto
195,2006466,lake tire,6330 kennedy,hammond,marysvillecarcare,Performance,laketire6330kennhammond
196,2006467,marysville car care,1152 gratiot blvd,marysville,meggstireservice,Performance,marysvil1152gratmarysvil
197,2006468,meggs tire service llc,po box 338,kosciusko,matthews,Performance,meggstirpobox338kosciusk
198,2006469,matthews inc,531 texas ave,texas city,moncartirecenterusa,Performance,matthews531texastexascit
199,2006470,mon & car tire center usa inc.,9099 euclid ave,manassas,sullivanstirepros,Performance,moncarti9099euclmanassas
200,2006471,sullivans tire pros,40126 highway 49,oakhurst,tomsautoclinic,Performance,sullivan40126higoakhurst
201,2006472,tom's auto clinic,1818 eastern avenue,gallipolis,fraserautomotiverepair,Performance,tomsauto1818eastgallipol
202,2006473,fraser automotive repair llc,32725 utica road,fraser,pokornybpautomotiveservice,Performance,fraserau32725utifraser
203,2006474,pokorny bp automotive service,po box 112,creston,fivestartireauto,Performance,pokornybpobox112creston
204,2006475,five star tire & auto,1011 w. hwy 40,vernal,davidhendrickessons,Performance,fivestar1011whwyvernal
205,2006476,david hendrickes & sons,202 main st,emmaus,wardsgarage,Performance,davidhen202mainsemmaus
206,2006477,ward's garage,127 maple st,portland,nightengalesautotechtire,Performance,wardsgar127mapleportland
