,Business Name,Address,City,State,Membership/Store Number,Tire Brands Carried,Sales Group,Cooper Region,Date Registered,User Status,Points Earned,Courses Complete,Generated Key,Edit Distance,IsMatch,Activity Score,Heirarchy
3999,AAA Car Care Plus,90 E Wilson Bridge Rd,Worthington,Ohio,90241,Cooper,Mid West Territory 04,Midwest,05/26/2016,Enabled,1060.0,75,aaacarca90ewilsoworthing,19,NotDupe,High,Unique
5630,AAA OHIO AUTO CLUB,1335 Bethel Rd,Columbus,Ohio,57,Cooper,Mid West Territory 04,Midwest,08/22/2017,Enabled,5.0,3,aaaohioa1335bethcolumbus,8,NotDupe,Low,Unique
5532,AAA OHIO AUTO CLUB,2400 Sobeck Rd,Columbus,Ohio,64,Cooper,Mid West Territory 04,Midwest,08/03/2017,Enabled,5.0,2,aaaohioa2400sobecolumbus,21,NotDupe,Low,Unique
1890,AA Tires,1772 Hwy. 19 N.,Thomaston,Georgia,894866,Both,South Atlantic Territory 05,South Atlantic,05/14/2015,Enabled,45.0,7,aatires1772hwy1thomasto,15,NotDupe,Medium,Unique
5334,A&A Tires LLC,4099 NORTH VALLEY PIKE,ROCKINGHAM,Virginia,1795890,Mastercraft,South Atlantic Territory 04,South Atlantic,06/12/2017,Enabled,0.0,0,aatiresl4099nortrockingh,20,NotDupe,No Activity,Unique
2320,Abilene Tire & Service,5190 Buffalo Gap Rd,Abilene,Texas,217843,Cooper,South Central Territory 04,South Central,08/25/2015,Enabled,5.0,2,abilenet5190buffabilene,21,NotDupe,Low,Unique
5621,Accel Discount Tire,2103 Delray Street,Statesville,North Carolina,32206,Cooper,South Atlantic Territory 03,South Atlantic,08/21/2017,Enabled,385.0,21,acceldis2103delrstatesvi,17,NotDupe,High,Unique
4273,Ace Tire & Service,4 Drummond Ave,Waterville,Maine,,Cooper,Eastern Territory 01,Eastern,08/24/2016,Enabled,5.0,2,acetires4drummonwatervil,18,NotDupe,Low,Unique
5065,Action Towing and Automotive,9 douglas rd,Trenton,Ontario,1804813,Cooper,,,03/23/2017,Enabled,818.0,49,actionto9douglastrenton,0,Dupe,High,G
5485,Action towing and automotive,9 douglas rd,trenton,Ontario,1804813,Cooper,,,07/19/2017,Enabled,1004.0,74,actionto9douglastrenton,0,Dupe,High,G
5060,Action Towing and Automotive,9 douglas rd,Trenton,Ontario,1804813,Cooper,,,03/22/2017,Enabled,2.0,1,actionto9douglastrenton,18,NotDupe,Low,G
4296,Ada Alignment and Tire,,,,,,,,,,,0,adaalignnannan,18,NotDupe,No Activity,Unique
4383,Adams Tire Outlet,1400 E BLVD,Kokomo,Indiana,906366,Mastercraft,Mid West Territory 04,Midwest,09/28/2016,Enabled,25.0,3,adamstir1400eblvkokomo,21,NotDupe,Low,Unique
4008,Adirondack Express Lube,997 St Hwy 29A,Gloversville,New York,546787,Cooper,Eastern Territory 05,Eastern,05/31/2016,Enabled,5.0,2,adironda997sthwygloversv,18,NotDupe,Low,Unique
5222,Advanced Auto and Tire Centers,1267 E. Baseline Rd,Gilbert,Arizona,,Cooper,Western Territory 03,Western,05/13/2017,Enabled,0.0,0,advanced1267ebasgilbert,11,NotDupe,No Activity,Unique
4594,Advanced Auto and Tire Centers,1947 N. Higley Road,Mesa,Arizona,,Both,Western Territory 03,Western,12/01/2016,Enabled,1144.0,82,advanced1947nhigmesa,0,Dupe,High,G
5258,Advanced Auto and Tire Centers,1947 N. Higley Road,Mesa,Arizona,,Cooper,Western Territory 03,Western,05/24/2017,Enabled,2.0,1,advanced1947nhigmesa,0,Dupe,Low,G
4577,Advanced Auto andTire Centers,1947 N. Higley Road,Mesa,Arizona,,Both,Western Territory 03,Western,11/27/2016,Enabled,1035.0,80,advanced1947nhigmesa,0,Dupe,High,G
4675,Advanced Auto and Tire Centers,1947 N. Higley Road,Mesa,Arizona,,Cooper,Western Territory 03,Western,12/19/2016,Enabled,85.0,6,advanced1947nhigmesa,14,NotDupe,Medium,G
4569,Advanced Auto and Tire Centers,2160 N. Alma School Rd,Chandler,Arizona,,Both,Western Territory 03,Western,11/25/2016,Enabled,0.0,0,advanced2160nalmchandler,15,NotDupe,No Activity,Unique
4566,Advanced Auto and Tire Centers,4942 E. Warner Rd,Phoenix,Arizona,,Both,Western Territory 03,Western,11/25/2016,Enabled,0.0,0,advanced4942ewarphoenix,13,NotDupe,No Activity,Unique
4623,Advanced Auto and Tire Centers,6801 E. First St,Prescott Valley,Arizona,,Both,Western Territory 03,Western,12/09/2016,Enabled,45.0,6,advanced6801efirprescott,16,NotDupe,Medium,Unique
3735,Advantage Tire and Service,6331 HWY 90 east,lake charles,Louisiana,24912,Mastercraft,South Central Territory 01,South Central,03/30/2016,Enabled,703.0,43,advantag6331hwy9lakechar,14,NotDupe,High,Unique
4597,Advantage One Tire Network,6515 Olivia Lane,Indianapolis,Indiana,230316,Mastercraft,Mid West Territory 06,Midwest,12/02/2016,Enabled,30.0,1,advantag6515olivindianap,0,Dupe,Low,G
3342,Advantage 1 Tire Network,6515 Olivia Lane,Indianapolis,Indiana,,Both,Mid West Territory 06,Midwest,01/26/2016,Enabled,246.0,28,advantag6515olivindianap,0,Dupe,High,G
1945,Advantage 1 Tire Network,6515 Olivia Ln.,Indianapolis,Indiana,,Mastercraft,Mid West Territory 06,Midwest,05/26/2015,Enabled,371.0,32,advantag6515olivindianap,0,Dupe,High,G
806,Advantage 1 Tire Network,6515 Olivia Ln.,Indianapolis,Indiana,,Mastercraft,Mid West Territory 06,Midwest,02/05/2015,Enabled,823.0,38,advantag6515olivindianap,0,Dupe,High,G
3987,Advantage 1 Tire Network,6515 Olivia lane,indianapolis,Indiana,,Mastercraft,Mid West Territory 06,Midwest,05/24/2016,Enabled,958.0,61,advantag6515olivindianap,0,Dupe,High,G
1190,Advantage 1 Tire Network,6515 Olivia Ln.,Indianapolis,Indiana,,Mastercraft,Mid West Territory 06,Midwest,03/05/2015,Enabled,135.0,9,advantag6515olivindianap,22,NotDupe,Medium,G
4010,After Hours Tire Care LLC,6602 Russell Springs Road,Columbia,Kentucky,270904,Cooper,South Central Territory 05,South Central,06/01/2016,Enabled,119.0,9,afterhou6602russcolumbia,20,NotDupe,Medium,Unique
118,Agee's Service Inc.,121 SO 8TH,Sabetha,Kansas,47774,Cooper,Mid West Territory 07,Midwest,07/08/2014,Enabled,343.0,39,ageesser121so8thsabetha,17,NotDupe,High,Unique
3966,Agland Coop,115 S 1st Street,Parkston,South Dakota,175335,Cooper,Mid West Territory 08,Midwest,05/19/2016,Enabled,2.0,0,aglandco115s1stsparkston,3,Dupe,No Activity,G
3546,Agland Coop,115 s.First Street,Parkston,South Dakota,550019,Cooper,Mid West Territory 08,Midwest,03/01/2016,Enabled,4.0,2,aglandco115sfirsparkston,0,Dupe,Low,G
3962,Agland Coop,115 s.First Street,Parkston,South Dakota,175335,Cooper,Mid West Territory 08,Midwest,05/19/2016,Enabled,299.0,28,aglandco115sfirsparkston,4,NotDupe,High,G
3961,Agland Coop,115 South 1st Street,Parkston,South Dakota,175335,Cooper,Mid West Territory 08,Midwest,05/19/2016,Enabled,75.0,6,aglandco115southparkston,0,Dupe,Medium,G
3969,Agland Coop,115 South First Street,Parkston,South Dakota,175335,Cooper,Mid West Territory 08,Midwest,05/19/2016,Enabled,465.0,22,aglandco115southparkston,17,NotDupe,High,G
4058,Ag Valley Coop,103 S. Commercial,Maywood,Nebraska,404632,Cooper,Mid West Territory 08,Midwest,06/20/2016,Enabled,45.0,4,agvalley103scommmaywood,13,NotDupe,Low,Unique
4365,AG Valley Coop,201 Lincoln St,Norton,Kansas,404632,Cooper,Mid West Territory 07,Midwest,09/21/2016,Enabled,5.0,3,agvalley201linconorton,2,Dupe,Low,G
